stars_rating	title
8.1	Harry Potter and the Deathly Hallows: Part 2
8	Nosferatu
8	My Name Is Khan
7.5	L"illusionniste
8.1	His Girl Friday
7.5	American Graffiti
7.6	La piel que habito
7.9	The Insider
7.7	Malcolm X
7.4	Predestination
8	Aguirre, the Wrath of God
7.9	Almost Famous
7.7	25th Hour
8.6	American History X
9.1	The Godfather: Part II
7.9	Do the Right Thing
7.7	La Vie en Rose
7.5	The Ice Storm
7.5	The Fly
7.8	Tombstone
7.6	Apollo 13
8.1	Gandhi
7.8	Ray
8.1	In the Name of the Father
7.8	The Longest Day
8	Jurassic Park
8.1	Kill Bill: Vol. 1
7.9	Walk the Line
8.1	Akira
7.6	West Side Story
8.2	Life of Brian
7.6	Milk
8	Moon
8.1	Three Colors: Red
8.1	Roman Holiday
7.9	Halloween
7.8	Awakenings
8.1	Donnie Darko
8.1	The Bourne Ultimatum
